gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2513707965	235	48.31	2	208	3	208	4.0e-55	208	COG3482	Uncharacterized conserved protein	237
2513707966	402	35.7	2	399	15	394	3.0e-71	262	COG1944	Uncharacterized conserved protein	398
2513707972	357	31.9	11	351	5	338	2.0e-49	190	COG3693	Beta-1,4-xylanase	345
2513707973	383	26.61	2	376	1	380	1.0e-30	127	COG0438	Glycosyltransferase	381
2513707974	168	28.87	5	136	35	176	2.0e-16	78.8	COG0110	Acetyltransferase (isoleucine patch superfamily)	190
2513707976	500	27.15	1	431	1	441	1.0e-23	104	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	480
2513707977	334	34.27	29	304	30	307	5.0e-55	208	COG5039	Exopolysaccharide biosynthesis protein	339
2513707979	314	19.87	6	306	5	303	1.0e-20	94.4	COG1216	Predicted glycosyltransferases	305
2513707981	324	21.07	4	307	3	303	2.0e-18	86.7	COG1216	Predicted glycosyltransferases	305
2513707983	326	18.93	22	285	4	274	8.0e-09	54.8	COG1216	Predicted glycosyltransferases	305
2513707986	158	26.54	1	158	1	158	6.0e-17	80.4	COG5017	Uncharacterized conserved protein	161
2513707987	256	23.38	70	250	10	209	2.0e-07	49.9	COG2755	Lysophospholipase L1 and related esterases	216
2513707989	588	53.78	10	578	12	580	0.0e+00	708	COG4618	ABC-type protease/lipase transport system, ATPase and permease components	580
2513707993	758	33.12	14	481	2	458	6.0e-85	309	COG3206	Uncharacterized protein involved in exopolysaccharide biosynthesis	458
2513707995	403	29.88	56	294	12	239	3.0e-33	136	COG1596	Periplasmic protein involved in polysaccharide export	239
2513707997	199	36.36	1	196	3	187	6.0e-38	150	COG3672	Predicted periplasmic protein	191
2513707998	442	54.89	1	419	1	414	0.0e+00	580	COG1004	Predicted UDP-glucose 6-dehydrogenase	414
2513708001	201	42.44	1	201	1	205	3.0e-51	194	COG0400	Predicted esterase	207
2513708003	233	61.43	6	227	1	223	2.0e-100	358	COG0692	Uracil DNA glycosylase	223
2513708004	963	46.27	492	824	1	333	3.0e-112	399	COG0836	Mannose-1-phosphate guanylyltransferase	333
2513708006	318	22.64	19	306	17	305	1.0e-25	110	COG3021	Uncharacterized protein conserved in bacteria	309
2513708007	338	29.57	1	335	1	314	8.0e-51	194	COG0451	Nucleoside-diphosphate-sugar epimerases	314
2513708010	233	16.92	7	201	2	181	2.0e-06	46.6	COG1309	Transcriptional regulator	201
2513708011	337	28.57	2	334	14	343	1.0e-32	134	COG1566	Multidrug resistance efflux pump	352
2513708012	581	47.83	332	558	3	232	1.0e-71	264	COG1131	ABC-type multidrug transport system, ATPase component	293
2513708013	375	31.9	164	373	73	282	7.0e-19	88.4	COG0842	ABC-type multidrug transport system, permease component	286
2513708014	369	27.67	71	369	1	284	5.0e-20	92.3	COG0842	ABC-type multidrug transport system, permease component	286
2513708016	347	31.27	1	347	4	340	6.0e-52	198	COG0673	Predicted dehydrogenases and related proteins	342
2513708018	237	27.48	1	221	2	257	9.0e-24	103	COG1192	ATPases involved in chromosome partitioning	259
2513708019	466	28.02	243	466	2	230	9.0e-33	134	COG1376	Uncharacterized protein conserved in bacteria	232
2513708021	112	48.65	1	111	1	111	2.0e-38	150	COG3453	Uncharacterized protein conserved in bacteria	130
2513708022	114	27.87	1	114	8	129	7.0e-24	102	COG0251	Putative translation initiation inhibitor, yjgF family	130
2513708024	552	37.64	2	539	1	537	0.0e+00	522	COG0028	Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]	550
2513708025	405	51.02	6	398	3	387	5.0e-125	441	COG1804	Predicted acyl-CoA transferases/carnitine dehydratase	396
2513708026	318	21.24	7	308	1	292	1.0e-08	54.5	COG5006	Predicted permease, DMT superfamily	292
2513708027	309	30.77	1	309	8	298	2.0e-52	199	COG2267	Lysophospholipase	298
2513708028	246	33.03	26	246	50	248	6.0e-39	154	COG3719	Ribonuclease I	249
2513708029	549	46.64	4	531	1	530	0.0e+00	590	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2513708031	302	41.55	1	290	4	291	3.0e-70	259	COG0685	5,10-methylenetetrahydrofolate reductase	291
2513708032	301	28.36	156	289	4	137	7.0e-05	41.7	COG2510	Predicted membrane protein	140
2513708033	405	42.51	10	338	9	340	4.0e-86	312	COG2951	Membrane-bound lytic murein transglycosylase B	343
2513708034	265	41.85	1	261	2	269	2.0e-67	249	COG3757	Lyzozyme M1 (1,4-beta-N-acetylmuramidase)	269
2513708036	414	67.71	1	414	1	414	0.0e+00	562	COG5379	S-adenosylmethionine:diacylglycerol 3-amino-3-carboxypropyl transferase	414
2513708037	474	29.86	150	455	40	386	8.0e-27	115	COG1680	Beta-lactamase class C and other penicillin binding proteins	390
2513708039	211	40	1	204	1	204	5.0e-29	121	COG1280	Putative threonine efflux protein	208
2513708040	403	24.48	2	384	1	347	1.0e-59	223	COG0205	6-phosphofructokinase	347
2513708041	235	29.89	56	229	1	174	2.0e-34	139	COG1076	DnaJ-domain-containing proteins 1	174
2513708042	253	46.64	13	248	24	257	2.0e-81	295	COG3023	Negative regulator of beta-lactamase expression	257
2513708044	396	22.84	1	384	1	373	1.0e-21	97.7	COG0665	Glycine/D-amino acid oxidases (deaminating)	387
2513708045	391	22.96	1	379	1	371	2.0e-22	99	COG0665	Glycine/D-amino acid oxidases (deaminating)	387
2513708047	145	31.58	3	135	1	131	6.0e-30	123	COG2001	Uncharacterized protein conserved in bacteria	146
2513708048	341	53.02	13	318	1	314	3.0e-108	385	COG0275	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis	314
2513708049	167	51.16	1	126	1	129	7.0e-30	123	COG5462	Predicted secreted (periplasmic) protein	138
2513708050	586	32.23	34	575	7	598	8.0e-109	388	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2513708051	506	42.83	42	504	5	475	2.0e-124	439	COG0769	UDP-N-acetylmuramyl tripeptide synthase	475
2513708052	477	43.1	3	466	1	451	2.0e-129	455	COG0770	UDP-N-acetylmuramyl pentapeptide synthase	451
2513708053	366	43.5	19	366	1	316	4.0e-51	195	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	319
2513708054	470	43.56	4	458	2	448	1.0e-126	447	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	448
2513708055	384	37.47	6	370	2	378	1.0e-78	286	COG0772	Bacterial cell division membrane protein	381
2513708056	374	38.4	4	363	1	357	6.0e-86	311	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	357
2513708057	471	52.79	1	463	1	457	0.0e+00	612	COG0773	UDP-N-acetylmuramate-alanine ligase	459
2513708058	324	44.67	23	311	2	291	6.0e-96	344	COG0812	UDP-N-acetylmuramate dehydrogenase	291
2513708059	309	32.81	1	308	1	305	6.0e-37	148	COG0451	Nucleoside-diphosphate-sugar epimerases	314
2513708060	437	19.7	72	436	71	437	5.0e-08	52.9	COG2271	Sugar phosphate permease	448
2513708061	228	47.21	3	224	6	238	2.0e-44	172	COG0580	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)	241
2513708062	308	42.24	2	305	1	317	2.0e-90	326	COG1181	D-alanine-D-alanine ligase and related ATP-grasp enzymes	317
2513708063	310	33.33	28	296	1	268	2.0e-48	186	COG1589	Cell division septal protein	269
2513708064	443	40.33	20	443	3	418	1.0e-118	419	COG0849	Actin-like ATPase involved in cell division	418
2513708065	572	57.86	11	328	8	324	3.0e-111	396	COG0206	Cell division GTPase	338
2513708066	318	50.68	6	299	1	293	2.0e-114	405	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase	300
2513708067	281	45.42	12	262	4	254	5.0e-76	277	COG4105	DNA uptake lipoprotein	254
2513708068	557	45.97	1	556	1	555	0.0e+00	581	COG0497	ATPase involved in DNA repair	557
2513708070	718	52.19	10	716	1	666	0.0e+00	894	COG0272	NAD-dependent DNA ligase (contains BRCT domain type II)	667
2513708071	178	26.35	22	177	13	179	8.0e-13	66.9	COG1670	Acetyltransferases, including N-acetylases of ribosomal proteins	187
2513708073	164	52.73	3	164	4	165	5.0e-61	226	COG3045	Uncharacterized protein conserved in bacteria	165
2513708074	156	42.31	1	156	5	160	1.0e-40	159	COG0835	Chemotaxis signal transduction protein	165
2513708075	200	39.39	4	199	12	206	2.0e-49	188	COG1999	Uncharacterized protein SCO1/SenC/PrrC, involved in biogenesis of respiratory and photosynthetic systems	207
2513708076	292	34.32	2	292	3	300	1.0e-73	269	COG2264	Ribosomal protein L11 methylase	300
2513708078	628	31.07	191	584	5	384	6.0e-57	215	COG0006	Xaa-Pro aminopeptidase	384
2513708079	102	50.5	1	101	1	100	1.0e-15	74.5	COG4541	Predicted membrane protein	100
2513708080	243	37.12	2	230	8	236	2.0e-44	172	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)	238
2513708081	81	43.59	1	77	1	78	2.0e-14	70.4	COG5460	Uncharacterized conserved protein	82
2513708083	221	22.99	3	176	1	146	5.0e-14	71.5	COG0262	Dihydrofolate reductase	167
2513708084	208	30.58	1	200	5	191	2.0e-31	129	COG1335	Amidases related to nicotinamidase	205
2513708088	829	44.55	61	706	2	655	0.0e+00	652	COG0210	Superfamily I DNA and RNA helicases	655
2513708089	158	50	1	152	3	151	1.0e-44	172	COG3865	Uncharacterized protein conserved in bacteria	151
2513708090	647	64.81	5	647	2	649	0.0e+00	843	COG2766	Putative Ser protein kinase	649
2513708091	424	44.76	2	421	3	423	2.0e-106	379	COG2718	Uncharacterized conserved protein	423
2513708092	516	53.21	15	512	7	490	0.0e+00	564	COG2719	Uncharacterized conserved protein	495
2513708093	306	29.63	3	184	41	227	3.0e-25	109	COG2114	Adenylate cyclase, family 3 (some proteins contain HAMP domain)	227
2513708094	402	29.61	85	391	39	369	3.0e-21	96.7	COG0845	Membrane-fusion protein	372
2513708095	1051	38.83	16	1017	1	1009	0.0e+00	872	COG0841	Cation/multidrug efflux pump	1009
2513708096	332	23.96	2	330	2	360	4.0e-33	135	COG1344	Flagellin and related hook-associated proteins	360
2513708098	221	47.96	23	218	1	190	3.0e-44	171	COG2885	Outer membrane protein and related peptidoglycan-associated (lipo)proteins	190
2513708099	135	78.36	1	134	1	134	2.0e-60	224	COG4954	Uncharacterized protein conserved in bacteria	135
2513708100	295	30.58	166	285	3	123	2.0e-17	83.4	COG2207	AraC-type DNA-binding domain-containing proteins	127
2513708101	364	43.57	18	358	11	351	7.0e-60	224	COG3180	Putative ammonia monooxygenase	352
2513708102	300	32.54	11	299	5	292	1.0e-34	140	COG0583	Transcriptional regulator	297
2513708103	344	43.16	1	325	1	314	2.0e-80	293	COG0667	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	316
2513708104	470	37.53	28	467	8	456	3.0e-85	309	COG0277	FAD/FMN-containing dehydrogenases	459
2513708106	83	54.79	10	82	14	86	7.0e-22	95.4	COG4321	Uncharacterized protein related to arylsulfate sulfotransferase involved in siderophore biosynthesis	102
2513708108	171	66.47	1	170	1	157	2.0e-62	231	COG3814	Uncharacterized protein conserved in bacteria	157
2513708109	264	72.56	1	264	3	268	3.0e-122	431	COG0207	Thymidylate synthase	268
2513708110	172	42.69	7	170	3	167	3.0e-38	151	COG0262	Dihydrofolate reductase	167
2513708111	360	29.59	64	354	2	290	5.0e-50	191	COG0330	Membrane protease subunits, stomatin/prohibitin homologs	291
2513708112	321	29.58	8	288	5	283	9.0e-40	157	COG0330	Membrane protease subunits, stomatin/prohibitin homologs	291
2513708113	571	42.94	58	416	13	347	3.0e-70	260	COG0265	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain	347
2513708114	95	34.07	1	91	9	93	2.0e-13	67	COG3514	Uncharacterized protein conserved in bacteria	93
2513708116	296	48.11	76	287	1	212	5.0e-59	221	COG0560	Phosphoserine phosphatase	212
2513708117	297	46.39	6	296	1	290	3.0e-92	331	COG0324	tRNA delta(2)-isopentenylpyrophosphate transferase	308
2513708118	502	36.71	24	492	7	458	5.0e-100	358	COG1167	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	459
2513708119	204	27.32	1	202	3	205	8.0e-19	87.2	COG1280	Putative threonine efflux protein	208
2513708120	308	38.83	4	292	2	290	4.0e-60	225	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	299
2513708121	679	19.92	52	518	4	507	4.0e-27	117	COG0433	Predicted ATPase	520
2513708122	596	48.85	11	573	1	549	0.0e+00	646	COG0028	Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]	550
2513708124	282	41.01	7	277	4	270	1.0e-73	269	COG0656	Aldo/keto reductases, related to diketogulonate reductase	280
2513708125	197	29.41	1	196	1	204	2.0e-23	102	COG1280	Putative threonine efflux protein	208
2513708126	158	58.11	8	155	8	155	1.0e-36	145	COG5528	Predicted integral membrane protein	155
2513708127	424	21.77	1	257	1	292	4.0e-19	89.6	COG0451	Nucleoside-diphosphate-sugar epimerases	314
2513708131	260	41	4	258	2	256	5.0e-42	164	COG5662	Predicted transmembrane transcriptional regulator (anti-sigma factor)	256
2513708132	171	30.18	5	165	13	181	2.0e-23	102	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog	182
2513708133	126	64.86	16	126	28	138	3.0e-39	153	COG4315	Uncharacterized protein conserved in bacteria	138
2513708134	138	50.38	1	133	1	132	8.0e-40	155	COG3607	Predicted lactoylglutathione lyase	133
2513708136	183	32.28	43	168	3	126	1.0e-11	63	COG1846	Transcriptional regulators	126
2513708137	162	32.21	1	149	1	142	9.0e-29	119	COG1959	Predicted transcriptional regulator	150
2513708138	493	22.1	72	335	38	311	2.0e-25	110	COG0668	Small-conductance mechanosensitive channel	316
2513708139	138	31.82	28	137	25	131	3.0e-12	64.4	COG1917	Uncharacterized conserved protein, contains double-stranded beta-helix domain	131
2513708140	251	27.52	1	243	1	258	6.0e-24	104	COG0702	Predicted nucleoside-diphosphate-sugar epimerases	275
2513708141	159	35.11	18	144	45	175	6.0e-22	96.8	COG2128	Uncharacterized conserved protein	177
2513708142	307	30.2	5	296	4	296	7.0e-32	131	COG0583	Transcriptional regulator	297
2513708144	230	34.82	40	149	2	111	6.0e-14	71.3	COG0789	Predicted transcriptional regulators	124
2513708145	250	44.18	3	249	1	241	6.0e-83	300	COG0854	Pyridoxal phosphate biosynthesis protein	243
2513708146	295	29.14	5	277	3	275	5.0e-29	121	COG0702	Predicted nucleoside-diphosphate-sugar epimerases	275
2513708147	138	44.83	19	134	1	116	7.0e-30	122	COG1733	Predicted transcriptional regulators	120
2513708148	402	27.34	7	400	1	387	6.0e-24	105	COG2814	Arabinose efflux permease	394
2513708149	207	23.23	10	206	1	196	2.0e-06	46.2	COG1309	Transcriptional regulator	201
2513708150	305	27.72	33	133	20	120	3.0e-10	59.6	COG1846	Transcriptional regulators	126
2513708151	239	52.4	1	229	1	229	2.0e-78	285	COG1794	Aspartate racemase	230
2513708152	154	41.06	1	150	5	154	4.0e-24	104	COG1522	Transcriptional regulators	154
2513708153	421	51.09	1	408	1	405	1.0e-125	443	COG1252	NADH dehydrogenase, FAD-containing subunit	405
2513708154	651	28.68	1	620	8	679	2.0e-122	433	COG0480	Translation elongation factors (GTPases)	697
2513708155	348	38.68	1	345	1	339	3.0e-105	375	COG1064	Zn-dependent alcohol dehydrogenases	339
2513708156	302	41.03	174	290	1	117	3.0e-20	93	COG2207	AraC-type DNA-binding domain-containing proteins	127
2513708157	352	32.95	5	257	3	252	9.0e-26	111	COG0463	Glycosyltransferases involved in cell wall biogenesis	291
2513708161	216	22.84	6	202	5	196	1.0e-07	50.4	COG1309	Transcriptional regulator	201
2513708162	339	64.39	1	337	3	338	0.0e+00	549	COG0059	Ketol-acid reductoisomerase	338
2513708164	83	22.5	1	77	2	81	7.0e-05	38.9	COG3609	Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain	89
2513708165	366	37.22	48	354	1	284	5.0e-60	225	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	284
2513708166	406	42.79	8	406	67	459	4.0e-98	351	COG1167	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	459
2513708167	347	32.73	2	220	3	215	1.0e-43	170	COG5634	Uncharacterized conserved protein	223
2513708168	352	44.82	1	325	1	314	1.0e-83	303	COG0667	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	316
2513708169	156	52.17	26	116	2	93	8.0e-13	66.5	COG1846	Transcriptional regulators	126
2513708170	255	21.51	20	255	16	280	9.0e-11	60.9	COG0596	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	282
2513708171	325	34.69	39	322	1	292	8.0e-45	174	COG1840	ABC-type Fe3+ transport system, periplasmic component	299
2513708172	564	32.66	12	559	10	539	5.0e-72	265	COG1178	ABC-type Fe3+ transport system, permease component	540
2513708173	339	40.65	1	336	1	330	5.0e-92	331	COG3839	ABC-type sugar transport systems, ATPase components	338
2513708176	303	42.9	1	303	2	291	2.0e-73	269	COG0384	Predicted epimerase, PhzC/PhzF homolog	291
2513708181	271	70.21	121	261	3	143	8.0e-56	210	COG4275	Uncharacterized conserved protein	143
2513708182	473	39.47	27	216	6	194	4.0e-32	132	COG2059	Chromate transport protein ChrA	195
2513708183	443	40.09	8	442	1	428	1.0e-100	360	COG1253	Hemolysins and related proteins containing CBS domains	429
2513708184	127	20.61	9	123	9	138	8.0e-06	42.9	COG0346	Lactoylglutathione lyase and related lyases	138
2513708185	109	35.16	1	109	2	129	4.0e-20	89.7	COG5455	Predicted integral membrane protein	129
2513708187	401	39.79	5	376	1	323	3.0e-91	328	COG0523	Putative GTPases (G3E family)	323
2513708188	349	47.15	16	348	3	318	1.0e-105	376	COG4531	ABC-type Zn2+ transport system, periplasmic component/surface adhesin	318
2513708189	303	41.18	14	248	2	254	2.0e-72	266	COG1121	ABC-type Mn/Zn transport systems, ATPase component	254
2513708190	271	39.02	1	264	9	272	6.0e-44	171	COG1108	ABC-type Mn2+/Zn2+ transport systems, permease components	274
2513708191	132	34.88	5	132	18	141	3.0e-26	110	COG0735	Fe2+/Zn2+ uptake regulation proteins	145
2513708192	132	52.46	8	129	10	131	6.0e-40	156	COG5485	Predicted ester cyclase	131
2513708195	235	28.65	46	235	1	186	4.0e-15	75.1	COG2020	Putative protein-S-isoprenylcysteine methyltransferase	187
2513708196	176	52.84	1	176	2	175	1.0e-59	222	COG0663	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily	176
2513708197	231	39.27	15	231	47	263	1.0e-63	236	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
2513708199	179	31.29	17	171	7	169	4.0e-18	84.6	COG1670	Acetyltransferases, including N-acetylases of ribosomal proteins	187
2513708200	656	27.14	1	374	1	398	2.0e-39	157	COG4252	Predicted transmembrane sensor domain	400
2513708201	1238	22.55	329	558	18	244	5.0e-10	61.2	COG5010	Flp pilus assembly protein TadD, contains TPR repeats	257
2513708203	162	25.68	15	162	1	130	3.0e-10	58	COG0251	Putative translation initiation inhibitor, yjgF family	130
2513708204	241	31.5	1	235	2	249	2.0e-33	136	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513708205	300	28.48	3	298	2	297	3.0e-37	148	COG0583	Transcriptional regulator	297
2513708207	385	29.95	35	378	39	378	8.0e-42	164	COG1680	Beta-lactamase class C and other penicillin binding proteins	390
2513708208	294	28.96	6	294	1	296	3.0e-33	135	COG0583	Transcriptional regulator	297
2513708209	122	24.44	24	111	3	92	1.0e-07	48.4	COG2329	Uncharacterized enzyme involved in biosynthesis of extracellular polysaccharides	105
2513708210	158	32.48	33	149	13	125	3.0e-09	54.6	COG1846	Transcriptional regulators	126
2513708211	177	31.07	2	173	1	176	3.0e-19	88	COG3038	Cytochrome B561	181
2513708213	144	36.81	3	141	12	152	4.0e-27	113	COG0054	Riboflavin synthase beta-chain	152
2513708214	148	27.4	1	135	4	148	9.0e-15	72.8	COG3832	Uncharacterized conserved protein	149
2513708217	368	29.75	129	367	3	215	5.0e-22	99.1	COG2114	Adenylate cyclase, family 3 (some proteins contain HAMP domain)	227
2513708220	312	33.55	5	301	2	296	1.0e-36	147	COG0583	Transcriptional regulator	297
2513708221	307	19.54	42	290	13	239	3.0e-09	56.1	COG5285	Protein involved in biosynthesis of mitomycin antibiotics/polyketide fumonisin	299
2513708222	274	32.23	153	273	4	124	9.0e-18	84.1	COG2207	AraC-type DNA-binding domain-containing proteins	127
2513708223	368	26.05	12	365	7	354	3.0e-21	96.5	COG0628	Predicted permease	355
2513708225	340	21.74	15	335	3	334	3.0e-30	126	COG2141	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	336
2513708228	383	21.04	87	382	1	309	5.0e-29	122	COG1940	Transcriptional regulator/sugar kinase	314
2513708229	435	24.37	1	425	5	433	9.0e-41	161	COG1653	ABC-type sugar transport system, periplasmic component	433
2513708230	296	36.27	4	296	2	295	8.0e-50	190	COG1175	ABC-type sugar transport systems, permease components	295
2513708231	305	30.79	6	303	8	278	2.0e-39	156	COG0395	ABC-type sugar transport system, permease component	281
2513708232	372	50.29	13	360	2	338	2.0e-108	386	COG3839	ABC-type sugar transport systems, ATPase components	338
2513708234	276	30.45	9	273	4	259	1.0e-40	160	COG0483	Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family	260
2513708236	308	49.84	1	307	15	313	3.0e-95	342	COG3965	Predicted Co/Zn/Cd cation transporters	314
2513708242	265	48.31	1	264	7	238	9.0e-75	273	COG4312	Uncharacterized protein conserved in bacteria	247
2513708245	304	31.19	4	304	4	314	2.0e-42	166	COG1735	Predicted metal-dependent hydrolase with the TIM-barrel fold	316
2513708246	284	27.34	3	281	2	282	1.0e-22	100	COG0596	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	282
2513708247	193	32.84	1	186	1	201	2.0e-19	89.5	COG0625	Glutathione S-transferase	211
2513708249	565	29.58	247	555	27	330	1.0e-38	154	COG0642	Signal transduction histidine kinase	336
2513708251	462	36.66	6	459	4	451	1.0e-101	363	COG1167	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	459
2513708254	216	61.4	1	214	3	217	4.0e-85	307	COG3828	Uncharacterized protein conserved in bacteria	239
2513708255	343	35.21	10	341	1	332	1.0e-61	230	COG1609	Transcriptional regulators	333
2513708256	364	53.14	1	349	1	338	1.0e-125	443	COG3839	ABC-type sugar transport systems, ATPase components	338
2513708257	369	26.76	4	364	4	340	7.0e-40	158	COG0673	Predicted dehydrogenases and related proteins	342
2513708258	278	37.37	1	277	1	281	3.0e-53	201	COG0395	ABC-type sugar transport system, permease component	281
2513708259	303	40	24	301	9	288	1.0e-58	220	COG1175	ABC-type sugar transport systems, permease components	295
2513708260	426	24.54	4	426	1	432	4.0e-47	182	COG1653	ABC-type sugar transport system, periplasmic component	433
2513708261	322	36.11	198	305	18	125	1.0e-19	91.1	COG2207	AraC-type DNA-binding domain-containing proteins	127
2513708262	331	38.3	1	330	1	325	4.0e-58	218	COG0604	NADPH:quinone reductase and related Zn-dependent oxidoreductases	326
2513708263	96	35.42	1	95	2	96	1.0e-12	64.9	COG5470	Uncharacterized conserved protein	96
2513708265	405	31.63	76	380	1	311	1.0e-47	184	COG1940	Transcriptional regulator/sugar kinase	314
2513708266	424	21.8	19	423	10	431	3.0e-32	132	COG1653	ABC-type sugar transport system, periplasmic component	433
2513708267	294	36.27	3	294	1	295	2.0e-48	186	COG1175	ABC-type sugar transport systems, permease components	295
2513708268	283	37.96	11	282	8	281	3.0e-56	211	COG0395	ABC-type sugar transport system, permease component	281
2513708269	381	49.59	1	367	1	338	5.0e-119	421	COG3839	ABC-type sugar transport systems, ATPase components	338
2513708270	710	26.79	17	706	16	670	3.0e-76	280	COG1874	Beta-galactosidase	673
2513708274	351	40.43	12	331	4	329	2.0e-90	326	COG2423	Predicted ornithine cyclodeaminase, mu-crystallin homolog	330
2513708275	145	29.29	9	145	7	146	3.0e-19	87.8	COG1522	Transcriptional regulators	154
2513708276	112	55.86	1	111	1	111	3.0e-36	143	COG5439	Uncharacterized conserved protein	112
2513708277	186	43.33	4	181	3	182	4.0e-44	170	COG5381	Uncharacterized protein conserved in bacteria	184
2513708278	786	37.24	499	786	82	366	7.0e-55	209	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
2513708279	390	23.41	100	351	1	236	1.0e-41	164	COG2226	Methylase involved in ubiquinone/menaquinone biosynthesis	238
2513708282	292	26.01	4	290	1	293	1.0e-30	127	COG0583	Transcriptional regulator	297
2513708283	128	23.48	7	120	13	121	6.0e-07	46.6	COG0662	Mannose-6-phosphate isomerase	127
2513708285	222	25.43	13	183	4	176	8.0e-07	47.3	COG1309	Transcriptional regulator	201
2513708288	147	31.33	1	143	6	149	1.0e-19	89.4	COG3832	Uncharacterized conserved protein	149
2513708294	296	22.26	1	282	1	296	3.0e-21	95.8	COG0451	Nucleoside-diphosphate-sugar epimerases	314
2513708298	339	57.74	11	320	10	318	8.0e-100	357	COG0206	Cell division GTPase	338
2513708302	457	25.62	140	451	9	330	1.0e-31	131	COG0642	Signal transduction histidine kinase	336
2513708303	229	41.38	1	227	1	229	6.0e-48	183	COG0745	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	229
2513708308	328	39.81	1	309	1	309	7.0e-82	297	COG0667	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	316
2513708310	670	61.54	271	400	23	152	4.0e-47	183	COG5616	Predicted integral membrane protein	152
2513708312	126	19.42	1	116	2	135	8.0e-06	42.5	COG0346	Lactoylglutathione lyase and related lyases	138
2513708313	160	24.27	13	115	15	112	5.0e-07	47.3	COG0662	Mannose-6-phosphate isomerase	127
2513708315	572	34.2	118	571	18	457	2.0e-75	277	COG5361	Uncharacterized conserved protein	458
2513708316	331	34.58	225	331	18	124	3.0e-19	89.5	COG2207	AraC-type DNA-binding domain-containing proteins	127
2513708317	122	31.36	6	122	3	120	1.0e-13	68.3	COG2044	Predicted peroxiredoxins	120
2513708318	426	54.96	1	131	1	130	9.0e-40	158	COG3453	Uncharacterized protein conserved in bacteria	130
2513708321	338	24.11	4	331	11	312	2.0e-29	123	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	319
2513708322	346	42.09	17	346	2	333	3.0e-49	188	COG0609	ABC-type Fe3+-siderophore transport system, permease component	334
2513708323	254	43.87	1	249	1	253	3.0e-77	282	COG1120	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components	258
2513708324	163	25.66	2	110	12	123	5.0e-11	60.8	COG0537	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases	138
2513708325	313	40.65	1	300	2	306	9.0e-92	330	COG4286	Uncharacterized conserved protein related to MYG1 family	306
2513708326	214	33.8	1	213	1	208	6.0e-24	104	COG1280	Putative threonine efflux protein	208
2513708327	129	47.62	5	129	8	132	7.0e-36	142	COG3474	Cytochrome c2	135
2513708328	272	25.82	1	272	1	240	3.0e-49	188	COG1622	Heme/copper-type cytochrome/quinol oxidases, subunit 2	247
2513708329	592	45.26	23	590	1	551	0.0e+00	519	COG0843	Heme/copper-type cytochrome/quinol oxidases, subunit 1	566
